"imageID";"directoryName";"collectionDate";"acquisitionDate";"plotLocation";"variety";"symptom";"Chl";"Flav";"NBI"
"Okga6";"2020-09-10_084";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"healthy";32.44;3.644;8.9
"Okga7";"2020-09-10_085";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"healthy";13.449;2.635;5.1
"Okga8";"2020-09-10_086";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"healthy";37.513;3.997;9.39
"Okga9";"2020-09-10_087";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"healthy";20.877;3.338;6.25
"Okga10";"2020-09-10_088";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"healthy";23.176;4.262;5.44
"Okga11";"2020-09-10_089";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"healthy";33.68;4.072;8.27
"Noga11";"2020-09-10_090";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"water stress";30.615;3.379;9.06
"Noga12";"2020-09-10_091";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"water stress";12.973;2.799;4.63
"Noga13";"2020-09-10_092";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"buffalo treehopper";27.445;3.972;6.91
"Noga14";"2020-09-10_093";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"buffalo treehopper";21.908;3.986;5.5
"Noga15";"2020-09-10_094";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"water stress";16.588;3.505;4.73
"Noga16";"2020-09-10_095";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"buffalo treehopper";28.542;3.272;8.72
"Noga17";"2020-09-10_096";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"buffalo treehopper";14.073;2.957;4.76
"Noga18";"2020-09-10_097";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"water stress";6.647;4.335;1.53
"Noga19";"2020-09-10_098";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"green leafhopper";34.827;3.418;10.19
"Noga20";"2020-09-10_099";"10/09/2020";"10/09/2020";"Rabastens";"Gamay";"buffalo treehopper";23.037;4.062;5.67
"Fdco1";"2020-09-10_101";"10/09/2020";"10/09/2020";"Terral";"Colombard";"flavescence doree";12.903;3.415;3.78
"Fdco2";"2020-09-10_102";"10/09/2020";"10/09/2020";"Terral";"Colombard";"flavescence doree";18.397;3.431;5.36
"Fdco3";"2020-09-10_103";"10/09/2020";"10/09/2020";"Terral";"Colombard";"flavescence doree";17.23;3.353;5.14
"Fdco4";"2020-09-10_104";"10/09/2020";"10/09/2020";"Terral";"Colombard";"flavescence doree";13.151;3.26;4.03
"Fdco5";"2020-09-10_105";"10/09/2020";"10/09/2020";"Terral";"Colombard";"flavescence doree";15.877;3.805;4.17
"Fdco6";"2020-09-10_106";"10/09/2020";"10/09/2020";"Terral";"Colombard";"flavescence doree";19.367;3.272;5.92
"Fdco7";"2020-09-10_107";"10/09/2020";"10/09/2020";"Terral";"Colombard";"flavescence doree";18.124;2.812;6.45
"Fdco8";"2020-09-10_109";"10/09/2020";"10/09/2020";"Terral";"Colombard";"flavescence doree";18.078;3.895;4.64
"Fdco9";"2020-09-10_110";"10/09/2020";"10/09/2020";"Terral";"Colombard";"flavescence doree";25.945;3.14;8.26
"Fdco10";"2020-09-10_111";"10/09/2020";"10/09/2020";"Terral";"Colombard";"flavescence doree";17.56;4.302;4.08
"Okco1";"2020-09-10_112";"10/09/2020";"10/09/2020";"Terral";"Colombard";"healthy";25.277;2.996;8.44
"Okco2";"2020-09-10_113";"10/09/2020";"10/09/2020";"Terral";"Colombard";"healthy";26.105;3.244;8.05
"Okco3";"2020-09-10_114";"10/09/2020";"10/09/2020";"Terral";"Colombard";"healthy";30.924;3.849;8.04
"Okco4";"2020-09-10_115";"10/09/2020";"10/09/2020";"Terral";"Colombard";"healthy";33.205;3.499;9.49
"Okco5";"2020-09-10_116";"10/09/2020";"10/09/2020";"Terral";"Colombard";"healthy";32.289;3.983;8.11
"Noco1";"2020-09-10_117";"10/09/2020";"10/09/2020";"Terral";"Colombard";"wood diseases";24.252;3.487;6.95
"Noco2";"2020-09-10_118";"10/09/2020";"10/09/2020";"Terral";"Colombard";"green leafhopper";29.515;2.087;14.14
"Noco3";"2020-09-10_119";"10/09/2020";"10/09/2020";"Terral";"Colombard";"green leafhopper";31.343;3.301;9.5
"Noco4";"2020-09-10_120";"10/09/2020";"10/09/2020";"Terral";"Colombard";"chlorosis";13.63;1.808;7.54
"Noco5";"2020-09-10_121";"10/09/2020";"10/09/2020";"Terral";"Colombard";"discoloration";30.079;3.01;9.99
"Noco6";"2020-09-10_122";"10/09/2020";"10/09/2020";"Terral";"Colombard";"wood diseases";21.756;4.029;5.4
"Noco7";"2020-09-10_123";"10/09/2020";"10/09/2020";"Terral";"Colombard";"wood diseases";15.252;3.272;4.66
"Noco8";"2020-09-10_124";"10/09/2020";"10/09/2020";"Terral";"Colombard";"wood diseases";25.768;3.194;8.07
"Fdll1";"2020-09-11_001";"11/09/2020";"11/09/2020";"DEVT";"Loin de l'oeil";"flavescence doree";14.421;3.448;4.18
"Fdll2";"2020-09-11_002";"11/09/2020";"11/09/2020";"DEVT";"Loin de l'oeil";"flavescence doree";24.087;3.452;6.98
"Fdll3";"2020-09-11_003";"11/09/2020";"11/09/2020";"DEVT";"Loin de l'oeil";"flavescence doree";16.478;2.493;6.61
"Fdll4";"2020-09-11_004";"11/09/2020";"11/09/2020";"DEVT";"Loin de l'oeil";"flavescence doree";27.984;2.865;9.77
"Fdll5";"2020-09-11_005";"11/09/2020";"11/09/2020";"DEVT";"Loin de l'oeil";"flavescence doree";14.369;4.004;3.59
"Fdll6";"2020-09-11_006";"11/09/2020";"11/09/2020";"DEVT";"Loin de l'oeil";"flavescence doree";10.765;2.935;3.67
"Fdll7";"2020-09-11_007";"11/09/2020";"11/09/2020";"DEVT";"Loin de l'oeil";"flavescence doree";18.623;3.07;6.07
"Fdll8";"2020-09-11_008";"11/09/2020";"11/09/2020";"DEVT";"Loin de l'oeil";"flavescence doree";16.12;2.376;6.78
"Fdll9";"2020-09-11_009";"11/09/2020";"11/09/2020";"DEVT";"Loin de l'oeil";"flavescence doree";19.557;2.854;6.85
"Fdll10";"2020-09-11_010";"11/09/2020";"11/09/2020";"DEVT";"Loin de l'oeil";"flavescence doree";8.309;1.311;6.34
"Fdmz1";"2020-09-11_011";"11/09/2020";"11/09/2020";"DEVT";"Mauzac";"flavescence doree";17.388;3.046;5.71
"Fdmz2";"2020-09-11_012";"11/09/2020";"11/09/2020";"DEVT";"Mauzac";"flavescence doree";12.251;3.247;3.77
"Fdmz3";"2020-09-11_013";"11/09/2020";"11/09/2020";"DEVT";"Mauzac";"flavescence doree";13.148;3.674;3.58
"Fdmz4";"2020-09-11_014";"11/09/2020";"11/09/2020";"DEVT";"Mauzac";"flavescence doree";17.501;2.99;5.85
"Fdmz5";"2020-09-11_015";"11/09/2020";"11/09/2020";"DEVT";"Mauzac";"flavescence doree";20.972;3.407;6.16
"Fdmz6";"2020-09-11_016";"11/09/2020";"11/09/2020";"DEVT";"Mauzac";"flavescence doree";20.321;2.432;8.36
"Fdmz7";"2020-09-11_017";"11/09/2020";"11/09/2020";"DEVT";"Mauzac";"flavescence doree";17.957;3.723;4.82
"Fdmz8";"2020-09-11_018";"11/09/2020";"11/09/2020";"DEVT";"Mauzac";"flavescence doree";24.18;3.066;7.89
"Fdmz9";"2020-09-11_019";"11/09/2020";"11/09/2020";"DEVT";"Mauzac";"flavescence doree";12.283;2.994;4.1
"Fdmz10";"2020-09-11_020";"11/09/2020";"11/09/2020";"DEVT";"Mauzac";"flavescence doree";9.123;2;4.56
"Okll1";"2020-09-14_002";"14/09/2020";"14/09/2020";"DEVT";"Loin de l'oeil";"damaged";29.484;2.688;10.97
"Okll2";"2020-09-14_003";"14/09/2020";"14/09/2020";"DEVT";"Loin de l'oeil";"damaged";32.205;2.436;13.22
"Okll3";"2020-09-14_004";"14/09/2020";"14/09/2020";"DEVT";"Loin de l'oeil";"damaged";40.206;3.008;13.37
"Okll4";"2020-09-14_005";"14/09/2020";"14/09/2020";"DEVT";"Loin de l'oeil";"damaged";33.931;2.479;13.69
"Okll5";"2020-09-14_006";"14/09/2020";"14/09/2020";"DEVT";"Loin de l'oeil";"damaged";37.644;3.098;12.15
"Noll1";"2020-09-14_007";"14/09/2020";"14/09/2020";"DEVT";"Loin de l'oeil";"wood diseases";9.742;2.774;3.51
"Noll2";"2020-09-14_008";"14/09/2020";"14/09/2020";"DEVT";"Loin de l'oeil";"wood diseases";12.48;2.461;5.07
"Noll3";"2020-09-14_009";"14/09/2020";"14/09/2020";"DEVT";"Loin de l'oeil";"wood diseases";29.625;2.654;11.16
"Noll4";"2020-09-14_010";"14/09/2020";"14/09/2020";"DEVT";"Loin de l'oeil";"green leafhopper";11.114;2.345;4.74
"Noll5";"2020-09-14_011";"14/09/2020";"14/09/2020";"DEVT";"Loin de l'oeil";"green leafhopper";25.799;2.047;12.61
"Noll6";"2020-09-14_012";"14/09/2020";"14/09/2020";"DEVT";"Loin de l'oeil";"green leafhopper";13.598;2.81;4.84
"Noll7";"2020-09-14_013";"14/09/2020";"14/09/2020";"DEVT";"Loin de l'oeil";"green leafhopper";27.897;2.098;13.29
"Noll8";"2020-09-14_014";"14/09/2020";"14/09/2020";"DEVT";"Loin de l'oeil";"senescence";19.341;3.039;6.36
"Noll9";"2020-09-14_015";"14/09/2020";"14/09/2020";"DEVT";"Loin de l'oeil";"senescence";8.721;2.702;3.23
